mes,preco_produtor,cide,pis_cofins,icms,margem_distribuicao,preco_distribuicao,margem_revenda,preco_consumidor
2001-11-01,9.57,,1.11,2.57,6.12,15.46,3.41,18.87
2001-12-01,9.0,,1.11,2.57,6.02,15.36,3.33,18.69
2002-01-01,8.08,1.32,1.32,2.83,6.48,17.39,4.46,21.85
2002-02-01,8.1,1.33,1.33,2.91,7.18,18.19,3.75,21.94
2002-03-01,8.09,1.32,1.32,2.94,7.2,18.23,3.61,21.84
2002-04-01,7.72,,1.51,3.18,7.02,19.43,4.62,24.05
2002-05-01,7.73,,1.51,3.43,7.07,19.74,3.71,23.45
2002-06-01,8.44,,1.65,3.59,7.17,20.85,4.62,25.47
2002-07-01,8.91,,1.74,3.74,7.47,21.86,4.46,26.32
2002-08-01,8.97,,1.76,3.81,7.44,21.98,3.91,25.89
2002-09-01,8.27,,1.62,3.51,6.94,20.34,3.04,23.38
2002-10-01,8.51,,1.66,3.55,5.83,19.55,3.54,23.09
2002-11-01,10.53,,2.06,4.02,4.76,21.37,5.13,26.5
2002-12-01,11.31,,2.21,4.3,5.51,23.33,4.72,28.05
2003-01-01,11.42,,2.29,4.24,6.79,24.74,4.61,29.35
2003-02-01,11.42,,2.29,4.19,6.92,24.82,4.11,28.93
2003-03-01,11.42,,2.29,4.18,6.78,24.67,4.21,28.88
2003-04-01,11.42,,2.29,4.13,7.44,25.28,4.37,29.65
2003-05-01,11.42,,2.29,4.16,7.5,25.37,4.28,29.65
2003-06-01,11.42,,2.29,4.18,7.45,25.34,4.19,29.53
2003-07-01,11.42,,2.29,4.18,7.39,25.28,4.06,29.34
2003-08-01,11.42,,2.29,4.17,7.23,25.11,4.04,29.15
2003-09-01,11.42,,2.29,4.17,7.27,25.15,4.08,29.23
2003-10-01,11.42,,2.29,4.17,7.01,24.89,4.15,29.04
2003-11-01,11.42,,2.29,4.18,6.88,24.77,4.1,28.87
2003-12-01,11.42,,2.29,4.17,6.77,24.65,4.15,28.8
2004-01-01,11.42,,2.19,4.16,7.1,24.87,4.17,29.04
2004-02-01,11.42,,2.16,4.18,7.18,24.94,4.27,29.21
2004-03-01,11.42,,2.17,4.18,7.31,25.08,4.36,29.44
2004-04-01,11.42,,2.12,4.19,7.85,25.58,4.6,30.18
2004-05-01,11.28,,2.18,4.2,7.73,25.4,5.04,30.44
2004-06-01,11.33,,2.18,4.22,7.7,25.42,5.01,30.43
2004-07-01,11.33,,2.18,4.24,7.62,25.37,5.07,30.44
2004-08-01,11.26,,2.18,4.27,7.57,25.28,5.06,30.34
2004-09-01,11.26,,2.18,4.27,7.46,25.17,5.05,30.22
2004-10-01,11.26,,2.18,4.25,7.44,25.12,5.05,30.17
2004-11-01,11.28,,2.18,4.25,7.33,25.04,4.84,29.88
2004-12-01,11.3,,2.18,4.31,6.93,24.72,5.25,29.97
2005-01-01,11.3,,2.18,4.31,6.82,24.61,5.29,29.9
2005-02-01,11.31,,2.18,4.31,6.63,24.43,5.33,29.76
2005-03-01,11.31,,2.18,4.31,6.62,24.43,5.38,29.81
2005-04-01,11.32,,2.18,4.32,6.49,24.31,5.42,29.73
2005-05-01,11.32,,2.18,4.32,6.4,24.22,5.41,29.63
2005-06-01,11.33,,2.18,4.33,6.46,24.3,5.36,29.66
2005-07-01,11.33,,2.18,4.33,6.38,24.22,5.4,29.62
2005-08-01,11.32,,2.18,4.33,6.36,24.19,5.37,29.56
2005-09-01,11.3,,2.18,4.33,6.64,24.45,5.2,29.65
2005-10-01,11.3,,2.18,4.38,6.8,24.66,5.31,29.97
2005-11-01,11.3,,2.18,4.28,7.13,24.89,5.15,30.04
2005-12-01,11.32,,2.18,4.3,7.38,25.18,5.0,30.18
2006-01-01,11.33,,2.18,4.3,7.61,25.42,4.96,30.38
2006-02-01,11.33,,2.18,4.3,7.67,25.49,5.06,30.55
2006-03-01,11.33,,2.18,4.31,7.87,25.69,5.21,30.9
2006-04-01,11.33,,2.18,4.32,8.05,25.88,5.53,31.41
2006-05-01,11.31,,2.18,4.33,8.39,26.21,5.79,32.0
2006-06-01,11.32,,2.18,4.34,8.72,26.56,5.96,32.52
2006-07-01,11.33,,2.18,4.39,8.77,26.67,6.2,32.87
2006-08-01,11.32,,2.18,4.4,8.93,26.83,6.16,32.99
2006-09-01,11.33,,2.18,4.4,9.12,27.03,6.14,33.17
2006-10-01,11.35,,2.18,4.4,8.99,26.92,6.01,32.93
2006-11-01,11.33,,2.18,4.41,8.88,26.8,6.25,33.05
2006-12-01,11.32,,2.18,4.42,8.84,26.76,6.26,33.02
2007-01-01,11.31,,2.18,4.43,8.79,26.71,6.33,33.04
2007-02-01,11.32,,2.18,4.43,8.82,26.75,6.35,33.1
2007-03-01,11.33,,2.18,4.43,8.91,26.85,6.25,33.1
2007-04-01,11.32,,2.18,4.44,8.97,26.91,6.18,33.09
2007-05-01,11.35,,2.18,4.44,8.9,26.87,6.18,33.05
2007-06-01,11.34,,2.18,4.45,8.95,26.92,6.12,33.04
2007-07-01,11.33,,2.18,4.45,9.02,26.98,6.06,33.04
2007-08-01,11.34,,2.18,4.44,9.13,27.09,5.85,32.94
2007-09-01,11.33,,2.18,4.5,8.92,26.93,5.9,32.83
2007-10-01,11.33,,2.18,4.51,8.52,26.54,6.23,32.77
2007-11-01,11.33,,2.18,4.49,8.39,26.39,6.36,32.75
2007-12-01,11.34,,2.18,4.5,8.37,26.39,6.37,32.76
2008-01-01,11.34,,2.18,4.5,8.4,26.42,6.4,32.82
2008-02-01,11.34,,2.18,4.49,8.43,26.44,6.37,32.81
2008-03-01,11.33,,2.18,4.48,8.59,26.57,6.21,32.78
2008-04-01,11.32,,2.18,4.47,8.48,26.46,6.28,32.74
2008-05-01,11.34,,2.18,4.48,8.45,26.45,6.44,32.89
2008-06-01,11.34,,2.18,4.51,8.45,26.48,6.63,33.11
2008-07-01,11.33,,2.18,4.52,8.49,26.52,6.72,33.24
2008-08-01,11.34,,2.18,4.53,8.54,26.59,6.79,33.38
2008-09-01,11.33,,2.18,4.53,8.65,26.69,6.72,33.41
2008-10-01,11.34,,2.18,4.47,8.54,26.53,6.89,33.42
2008-11-01,11.34,,2.18,4.47,8.47,26.46,6.94,33.4
2008-12-01,11.36,,2.18,4.47,8.46,26.47,6.91,33.38
2009-01-01,11.33,,2.18,4.45,8.56,26.52,6.88,33.4
2009-02-01,11.35,,2.18,4.46,8.65,26.64,6.75,33.39
2009-03-01,11.35,,2.18,4.46,8.79,26.77,7.14,33.91
2009-04-01,11.34,,2.18,4.46,9.35,27.34,7.48,34.82
2009-05-01,11.33,,2.18,4.47,9.53,27.51,7.72,35.23
2009-06-01,11.31,,2.18,4.48,9.68,27.65,8.13,35.78
2009-07-01,11.34,,2.18,4.48,9.91,27.91,8.3,36.21
2009-08-01,11.34,,2.18,4.49,9.87,27.87,8.5,36.37
2009-09-01,11.31,,2.18,4.52,10.13,28.14,9.74,37.88
2009-10-01,11.33,,2.18,4.55,10.44,28.5,9.72,38.22
2009-11-01,11.33,,2.18,4.55,10.42,28.48,9.73,38.21
2009-12-01,11.33,,2.18,4.66,10.38,28.54,9.67,38.21
